,x,y,z,B_x,B_y,B_z
231,-21.799999999999997,-247.25,201.12,-0.2026950773502416,-0.26583277754879375,2.5734121098868328
232,-1.8000000000000007,-247.25,12.620000000000005,-0.3298742323973185,-0.6545018309219142,2.163525299845781
233,-1.8000000000000007,-247.25,41.12,-0.35392599999997065,-0.5815059999998651,2.2709999999998933
234,-1.8000000000000007,-247.25,52.8,-0.3582319605355525,-0.555431643749126,2.312412595179946
235,-1.8000000000000007,-247.25,81.12,-0.3565280000002575,-0.49627000000000576,2.399060000000079
236,-1.8000000000000007,-247.25,121.12,-0.31333400000027806,-0.4023520000003408,2.4755999999999694
237,-1.8000000000000007,-247.25,136.5,-0.29116759694495636,-0.36634906620768404,2.493363112973386
238,-1.8000000000000007,-247.25,161.12,-0.24794800000012007,-0.3131520000001281,2.512840000000015
239,-1.8000000000000007,-247.25,201.12,-0.15467179999979708,-0.23373799999974593,2.524099999999847
240,0.0,-247.25,12.620000000000005,-0.32491757362154366,-0.65238698925983,2.1662913235892254
241,0.0,-247.25,41.12,-0.3485185619592561,-0.5783893295193794,2.2725275853725266
242,0.0,-247.25,52.8,-0.35299110471129297,-0.5519697998223414,2.3132607733335186
243,0.0,-247.25,81.12,-0.35211574581444294,-0.49175888468587403,2.398258515516335
244,0.0,-247.25,121.12,-0.3100677210254502,-0.39824789817804307,2.4730371721240547
245,0.0,-247.25,136.5,-0.28785609893578723,-0.36242134285885164,2.4903588733526245
246,0.0,-247.25,161.12,-0.24446153090708345,-0.30915757864808036,2.509268435009288
247,0.0,-247.25,201.12,-0.1518231585809867,-0.2303542119457459,2.519780710563145
248,18.2,-247.25,12.620000000000005,-0.2817571165443975,-0.6284781102792216,2.198267778685108
249,18.2,-247.25,41.12,-0.3047420000002252,-0.5448020000000628,2.290579999999933
250,18.2,-247.25,52.8,-0.31177909984293106,-0.5165184402421246,2.3237407352460617
251,18.2,-247.25,81.12,-0.3186140000002332,-0.4470219999998597,2.391060000000056
252,18.2,-247.25,121.12,-0.2881660000003292,-0.35996000000006695,2.448759999999973
253,18.2,-247.25,136.5,-0.2652383500270928,-0.3267030271964908,2.461952475601096
254,18.2,-247.25,161.12,-0.22032800000012698,-0.27188199999985163,2.4753799999998414
255,18.2,-247.25,201.12,-0.1354683999999646,-0.19952199999995815,2.4783599999999537
256,38.2,-247.25,12.620000000000005,-0.24852241514802087,-0.6016960427714846,2.2392478247425696
257,38.2,-247.25,41.12,-0.28102800000011735,-0.5185520000000987,2.3124400000000724
258,38.2,-247.25,52.8,-0.2893754341821402,-0.4897293867076833,2.3369512852694085
259,38.2,-247.25,81.12,-0.29782000000022646,-0.42765999999997706,2.3834800000000342
260,38.2,-247.25,121.12,-0.26735399999987147,-0.3383040000002763,2.4251399999999723
261,38.2,-247.25,136.5,-0.2493800289662168,-0.3029597517856647,2.4339134183553024
262,38.2,-247.25,161.12,-0.213897999999951,-0.2506220000004001,2.4412199999998405
263,38.2,-247.25,201.12,-0.1287476000005069,-0.18279199999984785,2.4384599999999814
264,58.2,-247.25,12.620000000000005,-0.21664799826705317,-0.5742888207563004,2.283615289231582
265,58.2,-247.25,41.12,-0.2537170494668709,-0.490203053186669,2.339749736087511
266,58.2,-247.25,52.8,-0.26316900961966316,-0.45995467778758803,2.35502370958903
267,58.2,-247.25,81.12,-0.27041426951524605,-0.3931201800984738,2.3801067740820208
268,58.2,-247.25,121.12,-0.24177062920897044,-0.3027719574938186,2.403556843170566
269,58.2,-247.25,136.5,-0.22509800043714706,-0.2692819440145634,2.407427603848119
270,58.2,-247.25,161.12,-0.1919896670483287,-0.21963048103428517,2.408090567641376
271,58.2,-247.25,201.12,-0.11353571883613923,-0.1509185657785303,2.398206174781978
272,78.2,-247.25,12.620000000000005,-0.17497878319718668,-0.5451599873418171,2.326041087432439
273,78.2,-247.25,41.12,-0.2115140000002944,-0.45622999999990776,2.3684799999999737
274,78.2,-247.25,52.8,-0.22122013505093777,-0.4230807617982686,2.3756536602050944
275,78.2,-247.25,81.12,-0.22825400000021423,-0.34700800000005994,2.3809200000001494
276,78.2,-247.25,121.12,-0.20262000000028474,-0.25517600000014273,2.3847399999999226
277,78.2,-247.25,136.5,-0.18590442345160174,-0.22299531301229392,2.3830116174862583
278,78.2,-247.25,161.12,-0.15205400000005137,-0.1744904000002504,2.376200000000013
279,78.2,-247.25,201.12,-0.08192359999986448,-0.10465339999989637,2.357260000000037
280,98.2,-247.25,12.620000000000005,-0.12190679777227548,-0.5158190011476087,2.359961943965506
281,98.2,-247.25,41.12,-0.15990484227787094,-0.42464274026603954,2.3905160291144463
282,98.2,-247.25,52.8,-0.16919325338069152,-0.38943530208833366,2.392722955944143
283,98.2,-247.25,81.12,-0.17661536057167804,-0.3093820358906112,2.384870675430837
284,98.2,-247.25,121.12,-0.15456684581318028,-0.21313172002750735,2.3695810488318587
285,98.2,-247.25,136.5,-0.13829319569361118,-0.17984850019463772,2.362317819030312
286,98.2,-247.25,161.12,-0.10602782136011717,-0.13065427202498503,2.3481283575463032
287,98.2,-247.25,201.12,-0.04164956281748148,-0.06268804249761328,2.3181414788050634
288,-141.8,-207.25,12.620000000000005,-0.8139340000001161,-0.6138339999999349,2.2571000000000243
289,-141.8,-207.25,41.12,-0.85789729299664,-0.5714733641552092,2.3910244631127755
290,-141.8,-207.25,52.8,-0.8684601960204932,-0.5543360660494159,2.441041267700078
291,-141.8,-207.25,81.12,-0.8741147156038539,-0.5108314757548804,2.5507338052951996
292,-141.8,-207.25,121.12,-0.8343356984430883,-0.4389461708953388,2.6754600898303282
293,-141.8,-207.25,136.5,-0.8064293712474734,-0.4063041874375575,2.713181397843765
294,-141.8,-207.25,161.12,-0.7506641523916475,-0.3468465817233277,2.7610470698290928
295,-141.8,-207.25,201.12,-0.6393229607816158,-0.2279809036777849,2.8044057617884994
296,-101.8,-207.25,12.620000000000005,-0.6401059999998524,-0.5847420000000776,2.1740800000000826
297,-101.8,-207.25,41.12,-0.6800565873364344,-0.5467918968874295,2.3025386678431112
298,-101.8,-207.25,52.8,-0.6890723226401714,-0.5357549400325263,2.351964712958175
299,-101.8,-207.25,81.12,-0.6904195366769533,-0.5124265180673717,2.4615422925526955
300,-101.8,-207.25,121.12,-0.6462036500350713,-0.4682139976600559,2.585829141867595
301,-101.8,-207.25,136.5,-0.6176011346541457,-0.4447057579918159,2.62308792231484
302,-101.8,-207.25,161.12,-0.5622951686928971,-0.39926007563617927,2.670442751047591
303,-101.8,-207.25,201.12,-0.45741835865159125,-0.3048057569442454,2.7152286143096567
304,-61.8,-207.25,12.620000000000005,-0.49973458214120753,-0.5645308166682277,2.114190549295031
305,-61.8,-207.25,41.12,-0.5280827752389259,-0.5285229154034528,2.2319213604252726
306,-61.8,-207.25,52.8,-0.5319726191172488,-0.5191121429466747,2.278401448542122
307,-61.8,-207.25,81.12,-0.5226142637229162,-0.49923721926329523,2.3818724153121993
